pid,feature,category
17-02-20210712-432,"[-0.082924545,-0.074944586,-0.13317925,-0.11556274,0.24287449,0.04353767,-0.004915085,-0.10117165,0.01139163,0.07595685,0.023917105,-0.14615706,0.35472205,0.03131078,0.011481992,0.19461301,0.010748049,-0.21949333,0.003079634,0.12689273,0.09106573,-0.12679017,0.016626371,-0.15535395,0.008942246,-0.12998736,-0.18704164,-0.19186383,0.102885894,-0.089017496,-0.2182387,0.031511016,-0.11035201,0.03634338,-0.10514055,0.072823025,-0.294732,-0.038039107,0.02596232,0.013155756,0.03085874,0.02559575,0.07213552,-0.029650744,0.005003744,0.026519328,0.11682851,0.028197866,-0.12575899,0.12919907,-0.08680895,-0.15768911,-0.016670197,0.003302841,0.0712653,0.20994003,0.003610213,0.04908075,-0.007405927,-0.1348296,0.076437026,-0.02029133,-0.14908433,-0.024800884,0.03177283,-0.044178754,0.21853763,-0.05807002,0.03239596,0.053879462,-0.019796137,-0.30325678,0.082164854,0.14037172,0.06646815,-0.08217445,-0.02045914,0.055828206,0.051541906,-0.1459628,0.040003337,0.12704028,0.009764304,-0.02109557,-0.13544384,0.01878097,0.14908767,0.17985144,0.01752786,-0.22787544,-0.11070178,-0.08720756,-0.032475192,-0.08912017,-0.011799267,0.013662268,0.016104965,0.07699848,-0.059627682,0.08657547,0.13279729,0.1328108,-0.072492026,0.037870243,-0.02816752,0.021386763,-0.03378614,0.12539685,0.03735259,-0.072527826,-0.015138568,0.105399735,-0.19369465,-0.007588841,-0.003217572,0.04187906,-0.030880775,0.012319386,-0.24212462,0.055816874,-0.10590005,-0.08470077,-0.004617212,-0.024092909,-0.025685199,0.0200134,0.110774465,-0.02239681,1.627008644]",1
17-02-20210712-433,"[-0.055643763,-0.06718807,-0.09327466,-0.12086923,0.24711557,-0.02312544,-0.01269019,-0.042361427,0.076062225,0.04340316,0.08025013,-0.081494816,0.34904036,0.032372136,0.041654114,0.23249237,0.012028307,-0.18634881,-0.025053283,0.085631445,0.07912919,-0.10937748,0.072118856,-0.11705552,-0.014565894,-0.15360796,-0.15030126,-0.16777179,0.06720824,-0.06422515,-0.15072706,0.051417522,-0.06353153,0.050650682,-0.09782356,0.08999679,-0.25178653,-0.034864895,0.029619649,0.027240261,0.061537214,0.00789864,0.1346763,-0.084186666,-0.07744457,0.03393387,0.085444696,0.024022304,-0.11013752,0.036626715,-0.048763372,-0.2043426,0.08433798,0.046616726,0.051909424,0.15891881,-0.006749044,-0.003847798,0.050510526,-0.146779,0.037034087,0.011083413,-0.101215236,0.009936398,0.008980903,-0.049796443,0.17224395,-0.12436749,0.025203489,0.035597075,0.032722764,-0.2208098,0.07024475,0.15270966,0.03908106,-0.09301652,-0.038420785,0.008720939,0.044375673,-0.16198295,-0.006612776,0.043090124,-0.024536468,0.03668047,-0.15085682,0.001021653,0.14675358,0.19234116,-0.023472596,-0.25034443,-0.04510837,-0.09089834,0.009250887,-0.05371982,-0.018237809,-0.051063076,0.004758993,0.036376223,-0.037276052,0.077347785,0.1623609,0.08037957,-0.059523255,0.052002665,-0.121957555,0.09557597,-0.024005419,0.07377792,0.062496547,-0.028934129,-0.036312737,0.0681599,-0.14310503,-0.06135095,-0.03531301,0.039268225,0.05175133,0.08276224,-0.17225361,0.05544006,-0.03323753,-0.07912445,-0.044367433,0.008098844,-0.027865037,-0.016276432,0.087686285,-0.05173694,0.682963246]",1
17-02-20210713-434,"[0.018760022,0.07984221,0.10723592,-0.10555445,0.017595746,-0.024749503,-0.020079248,-0.022033647,-0.14890656,-0.001332719,-0.22065942,0.04515023,0.05755863,0.32124755,0.082286365,-0.077426046,0.4061208,0.054039128,0.06787769,0.022356825,-0.13047141,-0.07605752,-0.014149928,-0.19297116,0.19484118,0.023647,0.1808043,0.048466794,-0.10681895,-0.3677688,-0.114561155,0.11652016,0.09214839,0.35461208,0.050977632,-0.102325745,-0.2340323,-0.47332722,0.42920396,0.018303875,-0.049530603,0.042601667,-0.28515092,0.04625041,0.08253581,-0.097115055,-0.13355848,0.04107933,-0.03057078,-0.099355064,0.000312915,-0.09057786,-0.56864184,0.005838823,0.049079996,-0.11995889,0.03411793,-0.05717486,0.030054973,-0.41426647,-0.013350481,0.32207045,0.055920184,-0.006220335,-0.16548587,-0.022238992,0.02171699,0.009435306,-0.030828334,0.008147495,-0.24857278,-0.089693666,-0.014043279,-0.1336165,0.109195724,0.15995301,0.004406983,-0.20511356,0.013410031,0.07768433,-0.07547651,0.17484629,0.03470909,-0.004832986,0.11092717,0.008900952,0.0967339,0.025818462,0.025994398,0.22410838,-0.000115231,-0.09266978,-0.41562402,-0.374905,0.07765144,0.06510107,0.40265933,-0.1518106,-0.076612785,0.12136637,0.03062134,-0.010555427,0.06164457,-0.09762966,-0.000149728,-0.1260352,-0.072631605,0.24059829,-0.25400323,0.22600378,-0.003460309,-0.20164555,0.04204116,0.1028086,0.2562612,0.45232314,-0.0535849,-0.1749753,0.15179455,0.006536612,0.052627727,-0.2518842,0.105080076,0.22590594,0.046623636,0.027962534,-0.12563634,0.05299188,-1.913161599]",0
17-02-20210714-435,"[-0.071225435,-0.09847541,-0.161268,-0.14047177,0.2708698,-0.018931657,0.003638279,-0.07996575,0.021582756,0.13846047,0.09020959,-0.18090066,0.38664445,-0.004305456,0.012171554,0.25617027,0.011834413,-0.2653326,-0.040388517,0.13796374,0.12695508,-0.16726854,0.07136361,-0.16351607,-0.07904721,-0.12631726,-0.24049106,-0.20936964,0.18289566,-0.057023987,-0.2005376,0.009432534,-0.15970841,0.04099929,-0.11874209,0.09705871,-0.3670663,-0.009736935,-0.02931603,-0.05305204,0.088013075,-0.03228827,0.19107935,-0.14808634,-0.07719636,0.010058416,0.11592042,0.027599778,-0.10481029,0.12346131,-0.11676058,-0.18640237,0.09348947,-0.041959964,0.05724731,0.23963709,-0.060532324,0.0434845,0.035296164,-0.10053618,0.0859978,-0.051938277,-0.23707356,-0.03202816,0.033520345,-0.04364619,0.29710177,-0.15881003,0.04100106,0.042219374,0.051643375,-0.27331296,0.07008656,0.24411799,0.023239505,-0.17082337,-0.0631574,0.12444442,0.05050063,-0.13635127,0.055388644,0.06160615,0.029337263,0.00549243,-0.27013227,-0.035341907,0.14547865,0.23852433,-0.054074187,-0.2780037,-0.14379017,-0.1316361,0.002245998,-0.026373493,-0.056781545,-0.058108933,-0.021327335,0.102388464,-0.06965424,0.049763475,0.17214008,0.12618627,-0.14071645,0.10147461,-0.01149425,0.12761293,-0.083609566,0.053421065,0.090936534,-0.10336743,0.009870509,0.10811313,-0.18384822,-0.07200421,-0.053124078,-0.03930223,0.010214451,0.082036465,-0.27350643,0.024308635,-0.045738325,-0.13866498,-0.080534115,-0.09772554,-0.0672554,-0.016733656,0.10069215,-0.014926975,0.918974596]",1
17-02-20210714-436,"[-0.015878666,-0.07091555,-0.0807817,-0.12697685,0.24257377,-0.054159544,-0.004307751,-0.0584229,-0.01148933,0.070214495,0.060376983,-0.09302885,0.24876975,0.07146406,0.024471555,0.231527,0.036524355,-0.17353724,-0.025206635,0.0730071,0.06931363,-0.06388775,0.11492826,-0.09154807,-0.03431671,-0.09181433,-0.114950724,-0.16618906,0.068215705,-0.07902913,-0.10529649,0.069083385,-0.060882054,0.0816926,-0.086604595,0.036116287,-0.2373499,-0.020186089,0.034837894,-0.00187312,0.027815064,-0.013475405,0.07945156,-0.040755067,-0.035499193,0.06323009,0.09274729,0.022358246,-0.08563766,0.07708008,-0.027980315,-0.14948043,0.036260918,0.021796111,0.060433123,0.20788361,-0.007476389,-0.010326309,0.01839594,-0.10812618,0.08244543,0.0327694,-0.108340785,0.01991784,0.0415617,-0.038537636,0.11765302,-0.03767659,0.03729166,0.05656297,-0.001730462,-0.21158023,0.08875519,0.11987192,0.032554623,-0.09553188,-0.056589104,0.027194373,0.05238173,-0.08332166,-0.023087109,0.037247602,0.033955395,0.039170288,-0.10484427,-0.042295832,0.1198529,0.10077197,-0.044898048,-0.17277943,-0.08461815,-0.10436485,-0.042756226,-0.046168543,-0.03528636,0.040548116,-0.00842901,0.029029014,-0.03742166,0.10580846,0.091395855,0.05596869,-0.07979517,0.016472738,-0.037681952,0.014778834,0.014273479,0.098926075,-0.03230443,-0.061354626,-0.000546047,-7.03E-05,-0.15091205,-0.03271389,-0.02485737,0.050884023,0.054999195,0.013953581,-0.12927368,0.042558365,-0.06118323,-0.09886085,0.003183731,0.011311883,-0.008882858,0.015035329,0.07496374,-0.047115557,0.997645045]",1
17-02-20210715-437,"[0.056683537,-0.012534754,0.06041851,-0.1228006,0.0853506,-0.06779962,0.030855238,-0.041136663,-0.12976547,-0.000305742,-0.13497597,0.05181837,0.11120714,0.24262963,0.0892173,-0.011844352,0.31614673,0.079153664,0.055881884,0.11406946,-0.09825638,0.04727669,0.101759925,-0.14881334,0.12760061,-0.053341232,0.1480104,-0.026505154,-0.070142984,-0.23060487,-0.10323175,0.059298992,0.13474979,0.23300782,0.07678223,-0.11227401,-0.15256554,-0.3000774,0.34120202,-0.034133025,0.0305244,0.013150781,-0.19986328,0.05124174,-0.016947325,-0.037922584,-0.10068593,0.031102713,-0.029691456,-0.09461819,-0.014390415,-0.08406535,-0.3848961,0.005749945,0.049805816,0.012508362,0.029898092,-0.10934678,0.013748569,-0.33580294,-0.009209259,0.17993198,0.020732509,-0.002108274,-0.12124533,-0.010877852,0.03872666,-0.019166877,-0.006320715,-0.001671647,-0.15001212,-0.14789824,0.0694501,-0.09302225,0.08430089,0.12069902,-0.11808423,-0.17705841,-0.005815127,0.07234093,-0.10999698,0.18918663,0.041320764,0.00629438,0.033032097,-0.04087321,0.06944863,0.04385604,0.003695275,0.1599461,0.06075535,-0.1134021,-0.2299941,-0.31141388,-0.012025118,0.029431248,0.3045668,-0.17273232,-0.049423926,0.12782131,0.036442563,-0.034880877,-0.038317673,-0.12833746,-0.017288627,-0.1633536,-0.09143508,0.16570169,-0.22301686,0.16906035,0.007430656,-0.16459478,0.020119295,0.010001177,0.24882658,0.34371132,-0.06796476,-0.08981465,0.03379283,-0.055690028,0.06465119,-0.20949084,0.06450996,0.14495054,0.022859447,0.08431754,-0.09832808,0.03634224,-1.991832049]",0
17-02-20210715-438,"[0.09763436,-0.004218647,0.21579765,-0.26292706,-0.06179192,-0.06471303,0.06324614,-0.16715415,-0.153329,-0.14455985,-0.18763018,0.09340164,0.16682602,0.40990642,0.070818864,0.000273786,0.5186563,0.20854348,0.1559293,0.145648,-0.3589481,0.2066811,0.12926354,-0.15853378,0.3160738,0.030596867,0.22705984,0.0357041,-0.18218614,-0.5074204,-0.14866094,0.13799176,0.33813313,0.3909277,0.085714415,-0.22187552,-0.23416863,-0.5437779,0.6642007,0.008188785,-0.01165656,0.017430525,-0.4287624,0.12217303,0.11285479,-0.12920624,-0.3375252,0.045269154,0.091576256,-0.22812594,0.029319687,-0.14817095,-0.6650473,0.013104001,0.0751747,-0.056042433,0.09171092,-0.18068352,-0.034257673,-0.58417755,-0.08266511,0.21217777,0.21396163,0.1020439,-0.34282658,0.008189955,0.04143085,0.06888431,0.11187459,0.009721365,-0.36266652,-0.12656055,-0.09238112,-0.053509552,0.07466766,0.28740585,-0.22803503,-0.22742458,0.037685692,-0.005434005,-0.18153144,0.38029137,0.028975984,0.000529568,0.091089256,-0.067042954,0.08925651,0.051554456,0.14893433,0.28233802,0.17577311,-0.080973364,-0.4439826,-0.55291307,0.045024857,0.004532417,0.57852674,-0.25945327,-0.025172258,0.19101581,0.010545939,-0.028077962,-0.051394843,-0.14205968,-0.00722965,-0.16311151,-0.07773916,0.29416978,-0.31535015,0.28915125,0.001385687,-0.110124186,0.10201687,0.097392686,0.5303106,0.5869058,-0.26641876,-0.19780403,0.17495054,-0.059004508,0.067953035,-0.3103353,0.1892705,0.27699962,0.09743302,0.19012496,-0.23635992,0.13578817,-2.227843399]",0
17-02-20210715-439,"[-0.07618867,-0.14630772,-0.18420404,-0.21555299,0.35537893,0.00455143,-0.033702217,-0.116704114,0.08998482,0.14267012,0.03368535,-0.20587271,0.5598355,0.019785667,0.009377119,0.35380775,0.03681249,-0.32158175,-0.002767087,0.1667304,0.074463814,-0.17970568,0.033979423,-0.18054596,0.028947912,-0.18698251,-0.27214485,-0.29078415,0.10011213,-0.18234892,-0.27049845,0.011666419,-0.1783877,0.05430022,-0.14505821,0.14580211,-0.41502312,-0.06551501,-0.005351167,-0.036936015,0.07259947,0.018506493,0.16697745,-0.074537985,-0.039908092,-0.017536867,0.15086621,0.0639311,-0.12352663,0.0802388,-0.17598023,-0.30012593,0.10805915,-0.006477185,0.016709628,0.2827778,-0.025951412,0.002982574,0.038812645,-0.19062023,0.03840607,-0.07363409,-0.19499768,0.04455989,0.03413146,-0.1530296,0.36857063,-0.16326444,0.04023274,0.027551707,-0.003791114,-0.40344086,0.06467471,0.24029684,0.020451583,-0.09913896,-0.03800895,0.11437493,0.07626009,-0.2717545,0.065127745,0.15060243,0.04537482,-0.04977093,-0.19349441,-0.054588694,0.118467495,0.32701254,0.015503478,-0.3175082,-0.061662696,-0.14117153,-0.005234137,-0.13581525,-0.04132074,-0.08797246,-0.004046076,0.1486313,-0.02566466,0.038793433,0.2125064,0.12553482,-0.14092651,0.097738914,-0.112485066,0.096159935,-0.098671995,0.09893875,0.08163295,-0.08284466,-0.037986234,0.20347275,-0.23921852,-0.09233972,-0.009858022,-0.042607546,0.048467204,0.056443214,-0.2932733,0.044922903,-0.13253038,-0.16328458,-0.015478948,-0.038827278,-0.042967558,-0.073481336,0.15153629,-0.03184341,0.132270097]",1
17-02-20210715-440,"[0.10553646,-0.009927759,0.29252356,-0.3749085,-0.15076214,-0.03132268,-0.01792115,-0.13182272,-0.24255355,-0.28117585,-0.2847501,0.1155304,0.24414398,0.469245,0.18933585,0.005735291,0.5637275,0.2174,0.21287005,0.16725548,-0.5623889,0.3525621,0.10517189,-0.15922046,0.42348602,0.030771941,0.29079854,0.09209877,-0.30481157,-0.55330056,-0.1265491,0.19359866,0.3384808,0.4993235,0.14652243,-0.24951994,-0.2085365,-0.61579716,0.84461176,-0.0676603,0.053134054,-0.004080545,-0.5427238,0.114719234,0.23552285,-0.121394195,-0.45272428,-0.008654586,0.099089265,-0.33569035,0.09198177,-0.09399587,-0.8279008,0.045558035,-0.006738273,-0.120881036,0.17579307,-0.25819755,-0.03212221,-0.70742166,-0.09415822,0.26903245,0.26496154,0.13546185,-0.44560385,-0.02386393,-0.027851358,0.01206975,0.044771254,0.007148713,-0.5974033,-0.14769498,-0.06657046,-0.05287837,0.050214414,0.5449555,-0.2842152,-0.28905326,0.12843595,-0.024571946,-0.11653823,0.51004475,0.12352026,-0.01888188,0.052748285,-0.10805922,0.15520881,0.056173004,0.18202576,0.38314342,0.22838223,-0.14976229,-0.58654493,-0.6297042,0.1362153,-0.105089754,0.6450224,-0.3443714,-0.013731899,0.16191752,0.024157472,-0.12712641,-0.006161818,-0.14634502,0.05635768,-0.24485716,0.006536863,0.31270385,-0.46565488,0.4249976,0.039069064,-0.17200574,0.1325039,0.10556663,0.70781225,0.69463944,-0.48742306,-0.27357224,0.29537687,-0.14065203,0.14205094,-0.46216208,0.23609415,0.37730148,0.21457729,0.24332055,-0.27100703,0.105128475,-0.182411702]",0
17-02-20210715-441,"[0.05737303,-0.002185801,0.27849713,-0.28298202,-0.1432985,-0.027958244,0.010004804,-0.2293989,-0.10981997,-0.14336339,-0.33555597,0.14489256,0.33640555,0.47247204,0.10168354,0.101636425,0.72055507,0.15884902,0.116585456,0.19462346,-0.4379417,0.28917456,0.11782469,-0.19101287,0.36038753,0.030233886,0.2663973,-0.009674331,-0.3387787,-0.66368556,-0.11392787,0.08515422,0.24784414,0.507144,0.05261429,-0.36588427,-0.2864644,-0.7100141,0.866737,0.012533889,-0.017836906,0.014757518,-0.5578184,0.08159932,0.086590394,-0.12882257,-0.4517649,0.090218686,0.10142532,-0.3328432,0.100504525,-0.13784745,-0.7992147,-0.014475485,0.03508723,-0.07610271,0.11413883,-0.24709208,-0.11875905,-0.7600948,-0.1510168,0.21013288,0.33532184,0.18223152,-0.40935576,-0.008504982,0.002081635,0.09361082,0.21577841,-0.001444995,-0.517729,-0.098908655,-0.21958423,-0.003912377,0.060154486,0.4975902,-0.1708017,-0.22075899,-0.024696507,0.01360661,-0.17588924,0.5187174,0.026565446,0.065253094,0.24001053,-0.17836784,0.12866063,0.016388537,0.12483298,0.2958051,0.2246692,-0.0634677,-0.58730173,-0.6158204,0.09027368,-0.06123084,0.6996571,-0.36609256,-0.064679556,0.23230861,0.035850845,-0.056463107,0.078806385,-0.19015865,0.059586644,-0.2698167,0.026773779,0.37566075,-0.35380512,0.43068215,-0.027501637,-0.20747598,0.050254837,0.10762944,0.6803419,0.6898375,-0.23886666,-0.2561776,0.35336563,-0.023930864,0.1513905,-0.39489433,0.18953902,0.35889068,0.115427144,0.19747859,-0.17658484,0.03359138,0.132270097]",0
17-02-20210716-442,"[0.004951386,0.001230309,0.11603603,-0.009935904,-0.002275586,-0.001329118,-0.011562474,-0.03425309,-0.09176482,-0.10810949,-0.13761589,0.06622617,0.074252784,0.23313896,0.13892445,0.022724096,0.36868948,0.13440076,0.07361589,0.08045418,-0.19500987,0.15229094,0.086353615,-0.11475329,0.19839719,-0.062448323,0.2122697,-0.013804119,-0.13024817,-0.3368385,-0.06858922,0.10625254,0.18857647,0.32205117,0.058356054,-0.2447232,-0.123646595,-0.3649068,0.49698475,0.012381815,0.020633653,0.06621243,-0.33045685,0.051947057,0.070505865,-0.02184006,-0.18894091,0.01854118,-0.041115407,-0.12551738,0.08419875,-0.08917019,-0.50833774,0.002429498,0.06583592,-0.06971685,0.06759113,-0.15953285,0.046007104,-0.3984246,-0.014062125,0.25171354,0.119526826,0.009180771,-0.26066616,-0.006690507,-0.03804537,-0.025085947,0.002803244,0.044728633,-0.2939979,-0.12320069,0.03332766,-0.075888135,0.0661415,0.18355429,-0.14756928,-0.1826906,-0.02767251,0.067320324,-0.1541642,0.23294595,0.07620554,0.04793813,0.07950897,-0.12659712,0.086822234,0.033556,-0.005413164,0.21636035,0.095074676,-0.11207317,-0.31479582,-0.36688805,0.06294684,0.015767874,0.39601788,-0.2318702,-0.051036827,0.16303658,-0.008268415,-0.01949534,0.047362097,-0.15529394,-0.050063763,-0.19677255,-0.019814244,0.1897733,-0.2543947,0.2567564,0.021777352,-0.13444701,0.098569,0.11641349,0.33988005,0.45036706,-0.11675606,-0.17560557,0.13959336,-0.02848778,0.098310545,-0.21077456,0.12129419,0.2567545,0.081315085,0.12245541,-0.15296787,0.043736186,-1.36246845]",0
17-02-20210716-443,"[0.048892614,0.05512076,0.1465709,-0.21825632,-0.039588675,-0.030108035,0.007684283,-0.10503457,-0.1791142,-0.14338651,-0.11313005,0.07915079,0.13337563,0.33844772,0.12016517,-0.033566143,0.42739818,0.13330717,0.10997481,0.12355118,-0.21829703,0.16281092,0.14419164,-0.12940077,0.24713562,0.043527737,0.20553112,0.008549846,-0.17278218,-0.43248907,-0.077826336,0.02149014,0.20705897,0.30546704,0.059882827,-0.19752747,-0.24292651,-0.41920057,0.6017729,0.008685612,0.02485853,0.05472606,-0.34898603,0.09581888,0.1303186,-0.10635737,-0.2959277,0.025993403,0.049640346,-0.13756302,0.025886906,-0.09918075,-0.54592687,-0.001422403,0.098172165,0.012916067,0.055766832,-0.16901936,-0.001584893,-0.44345754,-0.0876123,0.2406536,0.17550273,0.10265907,-0.28778145,0.017886803,0.002643708,-0.004112405,0.092425905,0.011676673,-0.3658616,-0.050820395,-0.03599018,-0.0659979,0.10051,0.28181252,-0.16927524,-0.20450927,0.004269428,0.0366281,-0.2171308,0.2967281,0.010148361,0.045582104,0.073498465,-0.0955477,0.06507165,-0.005690666,0.06528338,0.26484162,0.06584528,-0.08088361,-0.3565704,-0.38741708,0.0663558,0.019268842,0.42722365,-0.27099556,-0.023586633,0.17768832,-0.007535869,-0.008660802,0.010952508,-0.17159654,0.015858186,-0.17032172,-0.04484266,0.23656686,-0.23575634,0.2824443,0.010663157,-0.20326643,0.1277934,0.092637084,0.42333785,0.55359966,-0.17011613,-0.15883645,0.1745283,-0.033866256,0.12237915,-0.25708595,0.08935188,0.24900906,0.06149708,0.16426542,-0.19349885,0.05900259,-2.149172949]",0
17-02-20210716-444,"[0.1326328,0.024616504,0.3012609,-0.14575161,-0.16730538,-0.047353722,-0.05893992,0.00197097,-0.19181468,-0.19445416,-0.23117664,0.12982592,0.055136416,0.361416,0.15604596,-0.087061375,0.64754826,0.21428968,0.1275482,0.07480705,-0.37361398,0.17425942,0.116869316,-0.14892162,0.2588045,-0.019674856,0.3402688,0.116558045,-0.30590326,-0.4401128,-0.064328685,0.2085355,0.3218898,0.4820528,0.1380382,-0.34585604,-0.13848075,-0.6076341,0.74796027,0.022633493,-0.08188198,0.06921479,-0.49991438,0.06314648,0.13947545,-0.043062508,-0.42283362,0.032737598,-0.0303905,-0.22815755,0.12786831,-0.096504696,-0.8807768,-0.016293487,0.025460694,-0.10248075,0.030341953,-0.25742704,0.06470241,-0.63947356,-0.10371828,0.32237923,0.24895479,-0.07871084,-0.43484843,0.03956333,-0.07821841,-0.020024298,0.08060707,0.03527965,-0.40080008,-0.09209594,0.03213276,-0.07647236,0.11280365,0.29907042,-0.25093025,-0.28689614,0.027302198,0.16707826,-0.19007406,0.28684306,0.15068346,-0.08366114,0.10202904,-0.11231065,0.12575504,0.053154685,0.060245916,0.38264695,0.14862676,-0.19895165,-0.55811614,-0.5253459,0.04003536,0.045165643,0.6683804,-0.32117397,-0.042037807,0.1959187,0.015003769,-0.057986423,0.03310451,-0.22668874,0.062423512,-0.2374664,-0.08533337,0.22827479,-0.4020798,0.43871284,-0.038986444,-0.2704633,0.17943002,0.07320692,0.5205959,0.72037333,-0.3204399,-0.24714178,0.26578042,-0.09616349,0.19001967,-0.39036152,0.19528878,0.42679074,0.1283999,0.25746474,-0.2977875,0.18495215,-1.4411389]",0
17-02-20210716-445,"[0.10648824,-0.006294916,0.31450433,-0.1594014,-0.088214286,0.003862576,0.09922748,-0.051716946,-0.14182562,-0.22426163,-0.18484306,0.12117657,0.08143769,0.3598406,0.15222496,-0.009207549,0.5309209,0.27541453,0.18905663,0.11752612,-0.3797006,0.24767527,0.14475478,-0.10973399,0.29320934,-0.017802116,0.25744072,0.01426274,-0.22520187,-0.44826573,0.028129702,0.13691638,0.36065462,0.41942194,0.08643064,-0.15026218,-0.07433682,-0.49325523,0.68168676,-0.004499859,0.05178667,0.057417568,-0.4655566,0.09999276,0.13650519,-0.08502514,-0.32413733,0.014929998,0.06736736,-0.25117555,0.08176675,-0.040891774,-0.66262877,-0.02070157,0.05740298,-0.16715163,0.08767532,-0.29084638,0.022162626,-0.57576156,-0.10338992,0.22319861,0.23181455,0.087620854,-0.2808519,-0.07749548,-0.1640498,-0.061387185,0.118361615,0.002438486,-0.37295344,-0.1039784,-0.11667865,-0.079316184,0.1030294,0.30896625,-0.23294935,-0.24878168,-0.02384708,-0.031565282,-0.23217003,0.29098868,0.02774706,0.004255714,0.13317582,-0.1493531,0.095182806,-0.022744391,0.058940478,0.33853513,0.18635309,-0.06770187,-0.46193847,-0.48350096,0.12037191,-0.003440661,0.5291969,-0.39001003,0.012375223,0.19375141,0.015707865,-0.001897826,-0.06860655,-0.184277,0.000860273,-0.2771086,-0.005394827,0.29470488,-0.23979813,0.37377656,0.0258629,-0.21452671,0.11948707,0.11337539,0.46968976,0.59430194,-0.22002955,-0.22602043,0.21826172,-0.06929835,0.17466009,-0.2189019,0.16814646,0.32678857,0.11997152,0.16001378,-0.31477308,0.11635968,-0.811775301]",0
17-02-20210716-446,"[0.039086886,0.041385017,0.21472897,-0.017580364,-0.11975808,-0.001732978,0.03337141,-0.065211676,-0.1770889,-0.073084384,-0.26358452,0.046688568,-0.031789765,0.37196162,0.07174952,-0.06813194,0.5417626,0.11106407,0.042145442,0.0632062,-0.2250017,0.1793395,0.14146365,-0.14845367,0.21529134,-0.029310483,0.2639048,0.117111176,-0.26235807,-0.44548467,-0.058470033,0.09662518,0.2327035,0.45240644,0.101508975,-0.288943,-0.18086182,-0.58653,0.5914301,0.078205705,-0.071046434,0.059584912,-0.37235254,0.056584053,0.12222615,-0.007154135,-0.33405206,0.10865209,-0.026519747,-0.22352892,0.082333006,-0.11373467,-0.6061997,-0.17608331,0.049210045,-0.14828804,0.046635803,-0.1367812,-0.032681532,-0.48589247,-0.04427901,0.29876733,0.10594306,0.000341969,-0.36836296,0.041265193,-0.08229181,0.047417022,0.012041129,0.070143506,-0.3980616,-0.15490904,-0.05154027,-0.15895292,0.044685446,0.27892414,-0.16610089,-0.2576743,-0.01357221,0.16682905,-0.096016645,0.2557664,0.20777602,-0.021045167,0.0911426,-0.03902259,0.06537532,0.040023804,0.04419557,0.30697122,0.06756002,-0.12256049,-0.44867128,-0.4032475,0.0952791,0.08565193,0.59867084,-0.23497802,0.001428476,0.19968666,-0.025423521,-0.03479548,0.22650342,-0.19211957,0.07380493,-0.18125288,-0.1203457,0.27243218,-0.42289641,0.2860574,-0.06260506,-0.24578598,0.11336201,0.15863074,0.41746357,0.60633755,-0.19300716,-0.22036588,0.22501624,0.003179593,0.11034513,-0.3450612,0.10362399,0.30245227,0.10040119,0.19344941,-0.3263299,0.095050156,-1.126457101]",0
17-02-20210803-447,"[0.13350132,0.029949589,0.45896414,-0.3270119,-0.29607606,0.026343279,-0.05836399,-0.16141322,-0.20367296,-0.38896772,-0.46873087,0.14984971,0.1477411,0.5846141,0.12085928,0.005394375,0.8943971,0.39807597,0.38285378,0.24048682,-0.63495946,0.45608157,0.2323638,-0.1681581,0.4257273,-0.000643738,0.4269663,0.10769826,-0.5470543,-0.8196116,0.053186662,0.117691666,0.40513766,0.71933055,0.1829704,-0.3894121,-0.26490882,-0.8788192,1.1933663,-0.06725167,-0.041061092,0.095894784,-0.7702294,0.15171005,0.27731675,-0.08392189,-0.70159614,0.13494997,0.11851636,-0.422058,0.30673134,-0.15135857,-1.0419211,-0.019192176,-0.045922335,-0.29004538,0.22052313,-0.41571385,-0.13500448,-0.84194773,-0.18747756,0.36829403,0.4112644,0.17721337,-0.59713244,0.04247835,-0.1500242,0.100142024,0.18802527,0.01975822,-0.71150875,-0.08253261,-0.19041769,-0.03496662,0.09812802,0.6241428,-0.2900694,-0.44435534,0.051144958,0.13321543,-0.14060685,0.562979,0.16805343,0.009107206,0.15080783,-0.05755191,0.22973911,0.08566696,0.16601321,0.6203597,0.27461895,-0.095876314,-0.7694554,-0.82453114,0.24156809,-0.032428674,0.913717,-0.50170696,0.070956886,0.31488067,0.06913586,-0.072394274,0.18116608,-0.21762438,0.15785602,-0.33466977,0.031113325,0.4603839,-0.5819476,0.6481616,-0.016844558,-0.39691913,0.23252183,0.2246778,0.7661319,0.98748726,-0.5795532,-0.40064692,0.50762576,-0.05525423,0.28371397,-0.52885735,0.28546432,0.5429269,0.24514274,0.38132197,-0.4276954,0.12961999,-0.025070803]",0
